original_phrase,paraphrase,approach_name,semantic_similarity,bleu,bert_score,sacre_bleu,persona
Write code to make a calculator,"Implement a program that takes mathematical expressions as input and returns the calculated result, supporting standard arithmetic operations.",llms,0.333319694,8.61E-232,0.969176948,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,"Develop a command-line application that can evaluate basic mathematical formulas, including addition, subtraction, multiplication, and division, with error handling for invalid inputs such as division by zero.",llms,0.193058297,7.60E-232,0.96467936,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,"Create a Python module that provides a `calculate()` function. This function should accept a string representing a mathematical expression and return the numerical result, with unit tests covering various scenarios.",llms,0.482055515,7.39E-232,0.964374781,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,"Design and implement a simple calculator application that allows users to enter mathematical expressions and displays the outcome, considering operator precedence (PEMDAS/BODMAS).",llms,0.485199183,1.06E-231,0.967453241,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,"Build a program capable of parsing and evaluating arithmetic expressions. The program should support decimal numbers and handle potential exceptions like syntax errors in the input expression, and it should be testable.",llms,0.48422116,7.49E-232,0.958380759,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a calculator,"Develop a software component that provides basic arithmetic operations (addition, subtraction, multiplication, division). The component should accept numerical inputs and return the calculated result.",llms,0.276420802,7.72E-232,0.964921951,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,"Implement a command-line utility that functions as a calculator. It should parse user input to identify the operation and operands, then perform the calculation and display the output.",llms,0.606440961,3.55E-155,0.967220128,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,Create a simple web service with an API endpoint that performs calculations. The service should accept requests with an operation and operands in JSON format and return the result in JSON format.,llms,0.556370258,7.54E-232,0.964614332,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,"Design and code a class with methods to perform standard calculator functions. Include unit tests to ensure each function operates correctly with various input types and edge cases, such as division by zero.",llms,0.524900734,1.05E-231,0.964600503,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,"Construct a modular application that performs arithmetic calculations. Focus on creating a design that can be easily extended to include more complex functions, such as trigonometric operations or exponentiation. Ensure the code is well-documented and follows established coding best practices.",llms,0.273375183,9.31E-232,0.966409445,0,"Brad, a principal software engineer at Amazon. He has 12 years of professional software development experience and has led large-scale projects in industry. Brad has knowledge of object-oriented design, data structures, and algorithms. He also has experience designing and building large-scale systems in a multi-tiered, distributed environment. In his current role at the Amazon Device Management Systems organisation, he works on device-authentication, device-registration, device profiles and account-linking and is now working to expand to Remote Key provisioning and Passkeys. "
Write code to make a calculator,"Could you create a set of instructions that a computer can follow to perform basic arithmetic operations, like addition, subtraction, multiplication, and division? The program should take numbers as input from the user, let them choose the operation they want to perform, and then display the result clearly on the screen.",llms,0.56963557,7.82E-232,0.96365267,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,"I need a digital tool that acts like a handheld calculator. It should be able to handle adding, subtracting, multiplying, and dividing. Ideally, the user should be able to type in the numbers and select what they want to do with them, and the answer should pop up in a way that's easy to understand.",llms,0.457194537,8.48E-232,0.962623417,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,"Please develop a step-by-step guide for a computer to create a simple calculator. This calculator should allow users to input two numbers and choose an operation from a list – such as add, subtract, multiply, or divide – and then show the calculated result.",llms,0.597661436,9.06E-232,0.968516469,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,"I'd like to see instructions on how to build a computer application that functions as a standard four-function calculator. The program needs to get numbers from the user, understand what operation the user wants (addition, subtraction, multiplication, division), and then display the answer in a user-friendly format.",llms,0.57183975,8.73E-232,0.967179835,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a calculator,"Can you provide me with a computer program that mimics a basic calculator? It should take numbers as input, allow the user to choose between addition, subtraction, multiplication, or division, and then present the calculated result in a clear and understandable way for the user. Think of it as a recipe the computer can follow to act like a calculator.",llms,0.602588117,2.39E-155,0.961153686,0,"Harold, an English teacher who has never used a programming language. He understands how to use Excel and basic word processing on a computer but has no knowledge of data structures, programming, or computing concepts."
Write code to make a todo list app,"Create a Python application that allows users to add, remove, and view tasks in a todo list, storing the data in a simple text file.",llms,0.55293566,1.69E-78,0.971067607,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,"Develop a command-line todo list manager using Python, with functionalities for adding tasks with due dates, marking tasks as complete, and listing pending tasks.",llms,0.350739509,3.74E-155,0.967690527,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,"Implement a basic web-based todo list application using a lightweight Python framework like Flask or FastAPI, with endpoints for creating, reading, updating, and deleting todo items. Include basic error handling.",llms,0.351636887,3.30E-155,0.967682481,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,"Design a Python script that provides a user interface for managing a todo list. The script should allow users to create new tasks, prioritize tasks, and track completion status. Consider incorporating unit tests to ensure the script functions correctly.",llms,0.691445827,1.22E-78,0.961801648,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
Write code to make a todo list app,"Build a Python program to manage a todo list, leveraging AWS S3 for persistent storage of tasks. The program should support adding, deleting, updating, and retrieving tasks, and should include unit tests to validate core functionality.",llms,0.498813242,1.25E-78,0.961368442,0,"John, a junior software engineer. He studied computer science for his undergraduate degree at the University of Bristol and recently graduated. He did an internship in a small startup at the end of his third year where he assisted senior developers to build a tool that helped companies to track and manage their inventory. He has experience with Python, AWS, and unit testing."
